City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Surt,31.2089,16.5887,54.57,64,90,11.18,LY,2022-01-21 01:33:54
284,Gat,31.61,34.7642,47.08,100,16,6.15,IL,2022-01-21 01:33:54
285,Freetown,8.484,-13.2299,80.31,69,75,6.91,SL,2022-01-21 01:33:54
286,Bull Savanna,17.8868,-77.5902,72.84,85,1,10.11,JM,2022-01-21 01:33:54
287,Okhotsk,59.3833,143.3,-7.01,73,80,11.07,RU,2022-01-21 01:33:55
288,Machico,32.7,-16.7667,65.48,82,40,14.97,PT,2022-01-21 01:33:55
289,Nigde,37.8333,34.75,15.55,52,0,5.59,TR,2022-01-21 01:33:56
290,Altoona,40.5187,-78.3947,18.61,64,100,4.0,US,2022-01-21 01:33:56
291,Bathsheba,13.2167,-59.5167,77.61,78,40,20.71,BB,2022-01-21 01:29:28
292,Gizo,-8.103,156.8419,78.6,86,100,5.91,SB,2022-01-21 01:30:42
